nom_commune,conso_totale_mwh,conso_moy_site_mwh,conso_moy_commune_mwh,nb_logements,classe_conso
NEUVILLE-SUR-SAÔNE,23126.746,2.3051338912133894,3.251041841004184,10209,très faible
ODENAS,1050.829,6.694500000000001,7.617416666666666,161,très élevée
ORLIENAS,747.664,6.471125,7.45,117,très élevée
ORLIÉNAS,2514.473,3.8817826086956524,7.0533913043478265,662,élevée
OULLINS,115611.973,2.527888934594817,2.9532435211846977,47414,très faible
OULLINS-PIERRE-BÉNITE,19883.365,2.316362255965293,2.735,8891,très faible
PERREON,31.116,1.556,7.175,20,très élevée
POLEYMIEUX-AU-MONT-D'OR,156.988,2.4514,9.484,64,très élevée
POLLIONNAY,6633.424,4.700284210526315,6.696221052631579,1610,élevée
POMMIERS,2819.2219999999998,8.059291666666667,7.863333333333333,352,très élevée
PONTCHARRA-SUR-TURDINE,441.589,3.1805,5.413999999999999,122,faible
PORTE DES PIERRES DOREES,118.529,3.1765,7.163,46,très élevée
PORTE DES PIERRES DORÉES,931.464,2.7,6.804043478260869,402,élevée
PUSIGNAN,2415.777,4.587428571428571,6.679595238095239,527,élevée
QUINCIEUX,3454.636,4.02918,6.41164,972,moyenne
RILLIEUX-LA-PAPE,94365.933,1.966906200317965,3.102742448330684,48852,très faible
ROCHETAILLEE-SUR-SAONE,242.861,3.4397999999999995,6.175,79,moyenne
ROCHETAILLÉE-SUR-SAÔNE,1892.312,3.2948285714285714,6.022257142857143,675,moyenne
RONTALON,212.19299999999998,1.8611666666666666,6.1125,114,moyenne
SAIN-BEL,3496.837,3.8728219178082193,5.5879589041095885,948,faible
SAINT-BONNET-DE-MURE,8934.859,4.981444444444445,6.65768253968254,1811,élevée
SAINT-CYR-AU-MONT-D'OR,18010.826,5.552728888888889,8.001151111111112,4323,très élevée
